date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2023-07-21,11.31,11.39,11.34,11.28,377102.56,0.02,0.18,11.306,11.307,11.296,478735.36,603982.85,577743.68,0.19
2023-07-20,11.33,11.44,11.32,11.29,554069.56,0.01,0.09,11.33,11.293,11.296,547144.24,614716.68,589717.7,0.29
2023-07-19,11.23,11.32,11.31,11.23,382195.97,0.06,0.53,11.352,11.285,11.298,661176.28,619019.32,589241.76,0.2
2023-07-18,11.29,11.32,11.25,11.22,471966.16,-0.06,-0.53,11.338,11.288,11.305,731953.82,623147.96,617831.81,0.24
2023-07-17,11.41,11.41,11.31,11.26,608342.56,-0.15,-1.31,11.33,11.303,11.324,751722.4,637581.4,636335.19,0.31
2023-07-14,11.43,11.55,11.46,11.4,719146.94,0.03,0.26,11.308,11.321,11.339,729230.34,665256.22,652183.09,0.37
2023-07-13,11.32,11.47,11.43,11.27,1124229.75,0.19,1.69,11.256,11.298,11.34,682289.12,645246.78,669685.74,0.58
2023-07-12,11.23,11.36,11.24,11.22,736083.69,0.03,0.27,11.218,11.273,11.357,576862.36,581414.44,655973.66,0.38
2023-07-11,11.22,11.26,11.21,11.19,570809.06,0.01,0.09,11.238,11.279,11.384,514342.11,544345.72,657106.83,0.29
2023-07-10,11.25,11.28,11.2,11.17,495882.28,0.0,0.0,11.276,11.286,11.418,523440.41,533434.98,694330.61,0.26
2023-07-07,11.2,11.27,11.2,11.18,484440.84,-0.04,-0.36,11.334,11.284,11.464,601282.1,551504.5,713006.35,0.25
2023-07-06,11.3,11.34,11.24,11.21,597095.94,-0.1,-0.88,11.34,11.299,11.501,608204.44,564718.71,720969.2,0.31
2023-07-05,11.36,11.4,11.34,11.3,423482.41,-0.06,-0.53,11.328,11.311,11.531,585966.52,559464.2,732778.08,0.22
2023-07-04,11.46,11.49,11.4,11.32,616300.56,-0.09,-0.78,11.32,11.322,11.559,574349.32,612515.66,737696.27,0.32
2023-07-03,11.24,11.53,11.49,11.23,885090.75,0.26,2.31,11.296,11.345,11.586,543429.56,635088.98,767973.36,0.46
2023-06-30,11.18,11.31,11.23,11.15,519052.56,0.05,0.45,11.234,11.357,11.591,501726.9,639109.96,760869.97,0.27
2023-06-29,11.29,11.29,11.18,11.17,485906.31,-0.12,-1.06,11.258,11.381,11.609,521232.98,694124.7,793896.68,0.25
2023-06-28,11.28,11.33,11.3,11.22,365396.44,0.02,0.18,11.294,11.44,11.644,532961.88,730532.88,807801.21,0.19
2023-06-27,11.2,11.32,11.28,11.17,461701.75,0.1,0.89,11.324,11.489,11.678,650682.0,769867.94,817835.08,0.24
2023-06-26,11.3,11.3,11.18,11.15,676577.44,-0.17,-1.5,11.394,11.549,11.719,726748.39,855226.24,820321.42,0.35
2023-06-21,11.36,11.48,11.35,11.34,616582.94,-0.01,-0.09,11.48,11.643,11.756,776493.01,874508.21,830629.77,0.32
2023-06-20,11.44,11.46,11.36,11.35,544550.81,-0.09,-0.79,11.504,11.702,11.789,867016.42,877219.69,841013.17,0.28
2023-06-19,11.63,11.63,11.45,11.41,953997.06,-0.18,-1.55,11.586,11.75,11.832,928103.87,906091.96,848503.84,0.49
2023-06-16,11.61,11.67,11.63,11.57,842033.69,0.02,0.17,11.654,11.796,11.878,889053.87,862876.87,828270.38,0.43
2023-06-15,11.49,11.63,11.61,11.39,925300.56,0.14,1.22,11.704,11.826,11.914,983704.09,900857.75,820589.38,0.48
2023-06-14,11.55,11.73,11.47,11.46,1069200.0,-0.02,-0.17,11.806,11.824,11.958,972523.4,882629.99,808683.69,0.55
2023-06-13,11.76,11.84,11.77,11.69,849988.06,-0.02,-0.17,11.9,11.837,12.009,887422.96,893668.66,792954.75,0.44
2023-06-12,11.82,11.9,11.79,11.76,758747.06,-0.09,-0.76,11.914,11.847,12.051,884080.04,885069.55,800370.43,0.39
2023-06-09,12.06,12.09,11.88,11.85,1315284.75,-0.24,-1.98,11.938,11.866,12.103,836699.86,865802.23,808849.36,0.68
2023-06-08,11.96,12.2,12.12,11.86,869397.12,0.18,1.51,11.948,11.888,12.14,818011.41,785416.61,787365.31,0.45
2023-06-07,11.89,12.07,11.94,11.88,643697.81,0.1,0.84,11.842,11.869,12.177,792736.58,786751.33,789083.37,0.33
2023-06-06,11.91,12.09,11.84,11.82,833273.44,-0.07,-0.59,11.774,11.876,12.222,899914.36,804806.64,818751.15,0.43
2023-06-05,11.88,12.0,11.91,11.82,521846.19,-0.02,-0.17,11.78,11.913,12.288,886059.06,790915.73,898214.2,0.27
2023-06-02,11.68,11.97,11.93,11.64,1221842.5,0.34,2.93,11.794,11.96,12.358,894904.59,793663.89,1003657.82,0.63
2023-06-01,11.6,11.68,11.59,11.5,743022.94,-0.01,-0.09,11.828,12.001,12.407,752821.81,740321.01,1030675.13,0.38
2023-05-31,11.82,11.84,11.6,11.58,1179586.75,-0.27,-2.27,11.896,12.091,12.464,780766.09,734737.4,1067437.2,0.61
2023-05-30,11.98,11.99,11.87,11.8,763996.94,-0.11,-0.92,11.978,12.18,12.512,709698.91,692240.84,1080720.58,0.39
2023-05-29,12.11,12.13,11.98,11.95,566073.81,-0.12,-0.99,12.046,12.255,12.531,695772.39,715671.32,1092725.4,0.29
2023-05-26,11.93,12.13,12.1,11.84,511428.62,0.17,1.43,12.126,12.34,12.538,692423.19,751896.5,1113984.73,0.26
2023-05-25,11.99,12.0,11.93,11.81,882744.31,-0.08,-0.67,12.174,12.392,12.547,727820.2,789314.01,1153508.34,0.45
2023-05-24,12.2,12.21,12.01,12.01,824250.88,-0.2,-1.64,12.286,12.484,12.556,688708.71,791415.41,1182754.72,0.42
2023-05-23,12.38,12.41,12.21,12.21,694364.31,-0.17,-1.37,12.382,12.567,12.58,674782.78,832695.66,1187475.6,0.36
2023-05-22,12.31,12.45,12.38,12.31,549327.81,0.04,0.32,12.464,12.662,12.607,735570.25,1005512.68,1193346.8,0.28
2023-05-19,12.43,12.44,12.34,12.32,688413.69,-0.15,-1.2,12.554,12.756,12.631,811369.81,1213651.75,1216599.32,0.35
2023-05-18,12.57,12.64,12.49,12.43,687186.88,0.0,0.0,12.61,12.813,12.664,850807.81,1321029.25,1259125.44,0.35
2023-05-17,12.58,12.64,12.49,12.44,754621.19,-0.13,-1.03,12.682,12.837,12.686,894122.11,1400137.0,1289976.72,0.39
2023-05-16,12.8,12.92,12.62,12.57,998301.69,-0.21,-1.64,12.752,12.843,12.696,990608.55,1469200.31,1317145.41,0.51
2023-05-15,12.68,12.85,12.83,12.45,928325.62,0.21,1.66,12.86,12.807,12.693,1275455.11,1469779.48,1323809.9,0.48
2023-05-12,12.82,12.87,12.62,12.61,885603.69,-0.23,-1.79,12.958,12.736,12.675,1615933.69,1476072.96,1322891.47,0.46
2023-05-11,12.95,13.12,12.85,12.8,903758.38,0.01,0.08,13.016,12.702,12.671,1791250.68,1517702.67,1317500.26,0.47
2023-05-10,13.17,13.26,12.84,12.8,1237053.38,-0.32,-2.43,12.992,12.627,12.663,1906151.88,1574094.03,1304321.44,0.64
2023-05-09,13.4,13.6,13.16,13.13,2422534.5,-0.16,-1.2,12.934,12.593,12.652,1947792.08,1542255.53,1272865.03,1.25
2023-05-08,12.94,13.49,13.32,12.84,2630718.5,0.41,3.18,12.754,12.552,12.623,1664103.85,1381180.92,1179904.37,1.36
2023-05-05,12.78,13.11,12.91,12.75,1762188.62,0.18,1.41,12.514,12.505,12.589,1336212.23,1219546.88,1080741.3,0.91
2023-05-04,12.4,12.83,12.73,12.19,1478264.38,0.18,1.43,12.388,12.514,12.577,1244154.65,1197221.63,1029653.31,0.76
2023-04-28,12.26,12.78,12.55,12.22,1445254.38,0.29,2.37,12.262,12.534,12.567,1242036.18,1179816.45,999014.68,0.74
2023-04-27,12.06,12.35,12.26,12.0,1004093.38,0.14,1.16,12.252,12.548,12.574,1136718.98,1165090.5,967979.27,0.52
2023-04-26,12.25,12.25,12.12,11.99,991260.38,-0.16,-1.3,12.35,12.578,12.587,1098257.98,1177840.31,947577.82,0.51
2023-04-25,12.14,12.37,12.28,12.12,1301900.75,0.18,1.49,12.496,12.614,12.613,1102881.54,1169709.98,931708.22,0.67
2023-04-24,12.48,12.5,12.1,12.03,1467672.0,-0.4,-3.2,12.64,12.64,12.629,1150288.61,1117297.86,917034.29,0.76
2023-04-21,12.7,12.83,12.5,12.48,918668.38,-0.25,-1.96,12.806,12.698,12.665,1117596.71,1034548.84,874726.63,0.47
2023-04-20,12.9,12.9,12.75,12.62,811788.38,-0.1,-0.78,12.844,12.71,12.685,1193462.01,1003474.53,869008.51,0.42
2023-04-19,13.02,13.07,12.85,12.83,1014378.19,-0.15,-1.15,12.806,12.693,12.687,1257422.64,978627.82,872253.63,0.52
2023-04-18,12.93,13.2,13.0,12.89,1538936.12,0.07,0.54,12.732,12.673,12.68,1236538.41,941935.72,863571.88,0.79
2023-04-17,12.66,12.94,12.93,12.6,1304212.5,0.24,1.89,12.64,12.64,12.658,1084307.11,862084.99,846065.9,0.67
2023-04-14,12.6,12.9,12.69,12.58,1297994.88,0.13,1.03,12.59,12.6,12.649,951500.97,818212.91,858695.98,0.67
2023-04-13,12.41,12.67,12.56,12.3,1131591.5,0.08,0.64,12.576,12.599,12.656,813487.05,770868.05,839635.86,0.58
2023-04-12,12.58,12.59,12.48,12.45,909957.06,-0.06,-0.48,12.58,12.596,12.68,699833.0,717315.33,832024.47,0.47
2023-04-11,12.7,12.72,12.54,12.52,777779.62,-0.14,-1.1,12.614,12.612,12.7,647333.02,693706.46,843980.4,0.4
2023-04-10,12.64,12.7,12.68,12.58,640181.81,0.06,0.47,12.64,12.618,12.725,639862.88,716770.72,855123.16,0.33
2023-04-07,12.57,12.69,12.62,12.5,607925.25,0.04,0.32,12.61,12.632,12.748,684924.85,714904.41,865963.88,0.31
2023-04-06,12.6,12.61,12.58,12.5,563321.25,-0.07,-0.55,12.622,12.66,12.777,728249.05,734542.5,922370.85,0.29
2023-04-04,12.64,12.72,12.65,12.59,647457.19,-0.02,-0.16,12.612,12.681,12.825,734797.66,765879.45,949049.68,0.33
2023-04-03,12.55,12.69,12.67,12.46,740428.88,0.14,1.12,12.61,12.686,12.877,740079.9,785208.05,980640.14,0.38
2023-03-31,12.69,12.77,12.53,12.51,865491.69,-0.15,-1.18,12.596,12.676,12.936,793678.56,830046.8,1016409.9,0.45
2023-03-30,12.55,12.71,12.68,12.41,824546.25,0.15,1.2,12.654,12.698,13.024,744883.98,899179.04,1007683.04,0.42
2023-03-29,12.73,12.74,12.53,12.5,596064.31,-0.11,-0.87,12.698,12.712,13.102,740835.94,908403.67,1017249.57,0.31
2023-03-28,12.66,12.73,12.64,12.55,673868.38,0.04,0.32,12.75,12.764,13.184,796961.24,946733.61,1048618.94,0.35
2023-03-27,12.8,12.81,12.6,12.46,1008422.19,-0.22,-1.72,12.762,12.787,13.241,830336.2,994254.33,1045322.32,0.52
2023-03-24,12.85,12.86,12.82,12.76,621518.75,-0.08,-0.62,12.756,12.832,13.295,866415.04,993475.61,1025974.3,0.32
2023-03-23,12.7,12.9,12.9,12.63,804306.06,0.11,0.86,12.742,12.864,13.347,1053474.11,1017023.34,1031397.82,0.41
2023-03-22,12.75,12.88,12.79,12.71,876690.81,0.09,0.71,12.726,12.894,13.405,1075971.4,1110199.21,1032407.05,0.45
2023-03-21,12.65,12.78,12.7,12.5,840743.19,0.13,1.03,12.778,12.968,13.466,1096505.98,1132219.91,1020518.63,0.43
2023-03-20,12.76,12.85,12.57,12.55,1188816.38,-0.18,-1.41,12.812,13.067,13.536,1158172.46,1176072.23,1028006.22,0.61
2023-03-17,12.99,13.04,12.75,12.65,1556814.12,-0.07,-0.55,12.908,13.195,13.615,1120536.17,1202773.01,1074374.96,0.8
2023-03-16,12.89,13.03,12.82,12.8,916792.5,-0.23,-1.76,12.986,13.349,13.649,980572.56,1116187.03,1042452.44,0.47
2023-03-15,13.05,13.18,13.05,12.94,979363.69,0.18,1.4,13.062,13.491,13.688,1144427.01,1126095.46,1060568.98,0.5
2023-03-14,12.99,13.0,12.87,12.73,1149075.62,-0.18,-1.38,13.158,13.603,13.719,1167933.85,1150504.27,1074112.99,0.59
2023-03-13,13.12,13.29,13.05,13.0,1000634.94,-0.09,-0.69,13.322,13.694,13.774,1193972.0,1096390.3,1062156.07,0.52
2023-03-10,13.0,13.27,13.14,13.0,856996.06,-0.06,-0.46,13.482,13.758,13.812,1285009.84,1058473.0,1102127.03,0.44
2023-03-09,13.54,13.58,13.2,13.13,1736064.75,-0.33,-2.44,13.712,13.83,13.854,1251801.5,1045772.3,1101641.41,0.89
2023-03-08,13.63,13.64,13.53,13.4,1096897.88,-0.16,-1.17,13.92,13.915,13.901,1107763.91,954614.9,1056355.67,0.57
2023-03-07,13.85,14.1,13.69,13.65,1279266.38,-0.16,-1.16,14.048,13.964,13.926,1133074.69,908817.35,1034405.41,0.66
2023-03-06,14.3,14.3,13.85,13.72,1455824.12,-0.44,-3.08,14.066,14.005,13.952,998808.6,879940.21,1013915.11,0.75
2023-03-03,14.35,14.37,14.29,14.14,690954.38,0.05,0.35,14.034,14.035,13.96,831936.16,945976.92,1007004.41,0.36
2023-03-02,14.13,14.44,14.24,14.06,1015876.81,0.07,0.49,13.948,13.949,13.961,839743.1,968717.85,1034775.84,0.52
2023-03-01,13.8,14.19,14.17,13.74,1223451.75,0.39,2.83,13.91,13.885,13.979,801465.89,995042.5,1062877.02,0.63
2023-02-28,13.75,13.85,13.78,13.61,607935.94,0.09,0.66,13.88,13.835,14.006,684560.01,997721.72,1084375.51,0.31
2023-02-27,13.75,13.88,13.69,13.68,621461.94,-0.17,-1.23,13.944,13.853,14.066,761071.81,1027921.84,1105503.6,0.32
2023-02-24,14.02,14.03,13.86,13.8,729989.06,-0.19,-1.35,14.036,13.866,14.139,1060017.68,1145781.06,1143146.38,0.38
